gen,AA,AB,BB,BO,OO,AO
252,0.119856,0.150135,0.0489185,0.193534,0.189254,0.298291
253,0.117456,0.154995,0.0484785,0.193414,0.189294,0.296351
254,0.117676,0.151615,0.0480786,0.193654,0.190114,0.298851
255,0.119236,0.151775,0.0486185,0.194394,0.188694,0.297271
256,0.118336,0.153235,0.0505985,0.192834,0.187814,0.297171
257,0.120856,0.152775,0.0490185,0.190934,0.190774,0.295631
258,0.119436,0.153595,0.0476586,0.192634,0.191614,0.295051
259,0.117856,0.153235,0.0483585,0.194614,0.189634,0.296291
260,0.117336,0.151955,0.0497985,0.190634,0.190934,0.299331
261,0.115797,0.152035,0.0489185,0.190554,0.190554,0.302131
262,0.116776,0.150615,0.0485985,0.192494,0.192254,0.299251
263,0.116397,0.153315,0.0477586,0.192454,0.187214,0.302851
264,0.118736,0.151675,0.0472586,0.192054,0.191314,0.298951
265,0.119216,0.149676,0.0488785,0.193034,0.187394,0.301791
266,0.119096,0.149156,0.0476186,0.192594,0.190174,0.301351
267,0.116936,0.151415,0.0483585,0.192474,0.193194,0.297611
268,0.116996,0.152615,0.0466586,0.195034,0.191234,0.297451
269,0.116617,0.150495,0.0471786,0.194754,0.189794,0.301151
270,0.118396,0.150135,0.0491985,0.194574,0.191154,0.296531
271,0.116337,0.151275,0.0488985,0.197114,0.189814,0.296551
272,0.117316,0.150075,0.0484185,0.195574,0.188814,0.299791
273,0.116716,0.151535,0.0495185,0.194414,0.188354,0.299451
274,0.115837,0.151635,0.0494585,0.194274,0.193114,0.295671
275,0.117516,0.152835,0.0501185,0.190594,0.189994,0.298931
276,0.116557,0.153295,0.0492785,0.192554,0.189314,0.298991
277,0.116217,0.153435,0.0486185,0.192534,0.189654,0.299531
278,0.116816,0.153635,0.0489385,0.193554,0.189094,0.297951
279,0.118216,0.151595,0.0492985,0.192914,0.190374,0.297591
280,0.115857,0.154615,0.0491585,0.191294,0.189834,0.299231
281,0.115037,0.150855,0.0501785,0.192354,0.190894,0.300671
282,0.116916,0.151295,0.0497385,0.194554,0.191374,0.296111
283,0.115957,0.152835,0.0507385,0.193734,0.191354,0.295371
284,0.117516,0.151215,0.0505585,0.193714,0.190894,0.296091
285,0.115677,0.152315,0.0493185,0.193714,0.191934,0.297031
286,0.114377,0.154915,0.0492385,0.190954,0.195254,0.295251
287,0.117216,0.153035,0.0501585,0.191674,0.191074,0.296831
288,0.117476,0.149816,0.0488785,0.192414,0.190894,0.300511
289,0.116057,0.151215,0.0503385,0.191514,0.192514,0.298351
290,0.116157,0.153315,0.0482186,0.193534,0.189694,0.299071
291,0.115437,0.153015,0.0483785,0.191554,0.191674,0.299931
292,0.114137,0.148316,0.0481386,0.195754,0.192774,0.300871
293,0.114357,0.149596,0.0489985,0.194654,0.190554,0.301831
294,0.113677,0.151375,0.0492185,0.192814,0.191314,0.301591
295,0.115797,0.148236,0.0474586,0.193594,0.196354,0.298551
296,0.117316,0.148596,0.0478786,0.192294,0.195114,0.298791
297,0.117936,0.150795,0.0466986,0.191134,0.191514,0.301911
298,0.117616,0.151075,0.0483785,0.189674,0.193214,0.300031
299,0.118296,0.149696,0.0473386,0.191534,0.191154,0.301971
300,0.116996,0.150615,0.0467386,0.191134,0.193934,0.300571
301,0.115877,0.148856,0.0471386,0.191114,0.193854,0.303151
302,0.118536,0.149076,0.0457586,0.189874,0.193434,0.303311
303,0.117996,0.147676,0.0463586,0.191874,0.195254,0.300831
304,0.118216,0.149396,0.0468986,0.189654,0.192694,0.303131
305,0.118576,0.150775,0.0476986,0.190894,0.192614,0.299431
306,0.118036,0.150375,0.0458186,0.192614,0.190534,0.302611
307,0.118836,0.149496,0.0473386,0.189474,0.191694,0.303151
308,0.119396,0.147496,0.0484385,0.189254,0.191294,0.304111
309,0.116637,0.149316,0.0475786,0.189554,0.192154,0.304751
310,0.116936,0.148136,0.0475186,0.191154,0.192854,0.303391
311,0.117836,0.149996,0.0482586,0.188694,0.191574,0.303631
312,0.118376,0.147836,0.0454786,0.191574,0.194514,0.302211
313,0.118476,0.149316,0.0466586,0.193474,0.193134,0.298931
314,0.118796,0.151195,0.0470586,0.186294,0.193794,0.302851
315,0.119636,0.147356,0.0452786,0.188074,0.195494,0.304151
316,0.121656,0.148536,0.0470386,0.186814,0.192514,0.303431
317,0.120876,0.149316,0.0447187,0.188774,0.198574,0.297731
318,0.121656,0.149476,0.0462786,0.187794,0.196234,0.298551
319,0.119916,0.148396,0.0471786,0.185134,0.196094,0.303271
320,0.119076,0.147556,0.0471786,0.189494,0.192054,0.304631
321,0.121496,0.150875,0.0457586,0.186414,0.194254,0.301191
322,0.119216,0.148776,0.0451786,0.186314,0.192874,0.307631
323,0.120876,0.148096,0.0460186,0.189754,0.193634,0.301611
324,0.121716,0.146676,0.0459986,0.189214,0.190934,0.305451
325,0.122496,0.148076,0.0454586,0.191714,0.190934,0.301311
326,0.118656,0.151275,0.0459786,0.187534,0.196434,0.300111
327,0.117996,0.149996,0.0455786,0.191554,0.192034,0.302831
328,0.119236,0.147716,0.0453586,0.193454,0.191774,0.302451
329,0.117076,0.147496,0.0467986,0.194654,0.192394,0.301571
330,0.118156,0.148476,0.0470986,0.192254,0.193874,0.300131
331,0.118836,0.148816,0.0462386,0.190794,0.192334,0.302971
332,0.117196,0.151855,0.0474586,0.190454,0.193514,0.299511
333,0.117596,0.150815,0.0464586,0.190094,0.193734,0.301291
334,0.118116,0.150115,0.0453386,0.189094,0.195894,0.301431
